Kevin Durant,48.12,10300
Ben Simmons,43.02,10200
Dario Saric,29.64,6600
Robert Covington,28.13,5600
Josh Richardson,26.30,5500
Al-Farouq Aminu,24.76,5300
JJ Redick,26.64,5200
Rudy Gay,22.66,5100
Marco Belinelli,19.81,5000
Andre Iguodala,18.64,4800
Justise Winslow,20.17,4600
Maurice Harkless,14.55,4200
Manu Ginobili,16.96,4100
E'Twaun Moore,21.72,4100
Kyle Anderson,22.58,4000
Evan Turner,17.01,4000
Wayne Ellington,18.92,3800
Danny Green,19.48,3800
Kevon Looney,11.65,3500
Darius Miller,13.78,3200
Solomon Hill,9.45,2900
Justin Anderson,11.40,2800
Rodney McGruder,9.3,2800
Pat Connaughton,10.91,2800
Furkan Korkmaz,3.58,2500
Timothe Luwawu-Cabarrot,9.84,2500
Luke Babbitt,9.52,2500
Derrick Jones Jr.,7.7,2500
Darrun Hilliard,3.09,2500
Jake Layman,2.65,2500
CJ Wilcox,0,2500
DeAndre Liggins,6.58,2500
